air_humidity_100,air_temperature_100,atm_pressure_main,num_of_resets,piezo_charge,piezo_temperature,chuva
38.0,31.366,9412.0,0.0,45123.0,30.0,0.0
39.0,31.366,9419.0,0.0,44923.0,31.0,0.0
39.0,31.322,9419.0,0.0,44825.0,31.0,0.0
38.0,31.24,9416.0,0.0,44728.0,31.0,0.0
39.0,30.828,9411.0,0.0,44632.0,30.0,0.0
39.0,30.686,9413.0,0.0,44441.0,30.0,0.0
40.0,30.63,9415.0,0.0,44347.0,30.0,0.0
41.0,30.588,9419.0,0.0,44251.0,30.0,0.0
41.0,30.474,9425.0,0.0,44156.0,30.0,0.0
44.0,30.332,9438.0,0.0,43968.0,30.0,0.0
44.0,30.474,9437.0,0.0,43778.0,30.0,0.0
44.0,30.516,9432.0,0.0,43682.0,30.0,0.0
44.0,30.346,9460.0,0.0,43581.0,30.0,0.0
30.0,34.502,9473.0,0.0,42402.0,35.0,0.0
20.0,39.018,9378.0,0.0,42084.0,38.0,0.0
22.0,37.91,9379.0,0.0,42033.0,39.0,0.0
32.0,30.884,9389.0,0.0,41799.0,31.0,0.0
34.0,30.276,9394.0,0.0,41708.0,28.0,0.0
39.0,28.49,9394.0,0.0,41621.0,27.0,0.0
39.0,27.98,9401.0,0.0,41539.0,26.0,0.0
57.0,22.626,9400.0,0.0,41395.0,22.0,0.0
62.0,22.922,9396.0,0.0,41330.0,21.0,0.0
66.0,20.67,9398.0,0.0,41267.0,20.0,0.0
61.0,22.116,9397.0,0.0,41204.0,20.0,0.0
70.0,20.358,9398.0,0.0,41142.0,20.0,0.0
69.0,19.862,9407.0,0.0,41023.0,19.0,0.0
62.0,22.356,9414.0,0.0,40964.0,18.0,0.0
39.0,30.108,9422.0,0.0,40891.0,24.0,0.0
28.0,34.518,9425.0,0.0,40789.0,32.0,0.0
23.0,37.684,9422.0,0.0,40533.0,40.0,0.0
19.0,40.396,9415.0,0.0,40391.0,42.0,0.0
17.0,42.156,9408.0,0.0,40235.0,45.0,0.0
16.0,42.52,9399.0,0.0,40075.0,46.0,0.0
16.0,41.984,9393.0,0.0,39915.0,45.0,0.0
18.0,39.868,9387.0,0.0,39760.0,44.0,0.0
18.0,39.968,9387.0,0.0,39622.0,41.0,0.0
23.0,35.74,9391.0,0.0,39495.0,38.0,0.0
29.0,31.566,9395.0,0.0,39392.0,32.0,0.0
31.0,30.134,9403.0,0.0,39302.0,28.0,0.0
33.0,29.48,9408.0,0.0,39217.0,27.0,0.0
44.0,25.386,9412.0,0.0,39137.0,25.0,0.0
53.0,23.774,9414.0,0.0,39064.0,23.0,0.0
46.0,25.132,9413.0,0.0,38994.0,22.0,0.0
62.0,21.872,9412.0,0.0,38925.0,22.0,0.0
59.0,22.172,9412.0,0.0,38861.0,21.0,0.0
67.0,21.066,9409.0,0.0,38797.0,21.0,0.0
69.0,20.302,9411.0,0.0,38735.0,20.0,0.0
58.0,22.612,9415.0,0.0,38672.0,20.0,0.0
67.0,20.512,9424.0,0.0,38610.0,20.0,0.0
64.0,22.368,9428.0,0.0,38550.0,19.0,0.0
47.0,28.634,9436.0,0.0,38479.0,23.0,0.0
29.0,33.51,9438.0,0.0,38381.0,31.0,0.0
25.0,37.37,9437.0,0.0,38261.0,36.0,0.0
22.0,40.452,9432.0,0.0,38119.0,42.0,0.0
21.0,40.664,9426.0,0.0,37967.0,44.0,0.0
17.0,41.7,9417.0,0.0,37808.0,45.0,0.0
14.0,42.506,9405.0,0.0,37655.0,44.0,0.0
13.0,42.65,9398.0,0.0,37499.0,45.0,0.0
15.0,40.848,9390.0,0.0,37352.0,42.0,0.0
17.0,38.804,9389.0,0.0,37213.0,41.0,0.0
23.0,35.312,9393.0,0.0,37088.0,38.0,0.0
31.0,30.176,9403.0,0.0,36986.0,31.0,0.0
31.0,29.766,9409.0,0.0,36897.0,28.0,0.0
58.0,27.88,9426.0,0.0,36807.0,28.0,0.0
59.0,26.024,9434.0,0.0,36722.0,26.0,0.0
64.0,23.59,9446.0,0.0,36644.0,24.0,0.0
66.0,21.928,9445.0,0.0,36576.0,21.0,0.0
70.0,20.868,9443.0,0.0,36511.0,20.0,0.0
72.0,20.174,9442.0,0.0,36450.0,19.0,0.0
74.0,19.62,9439.0,0.0,36392.0,18.0,0.0
75.0,19.168,9440.0,0.0,36335.0,18.0,0.0
77.0,18.502,9442.0,0.0,36280.0,17.0,0.0
77.0,18.292,9449.0,0.0,36226.0,17.0,0.0
72.0,19.452,9453.0,0.0,36172.0,17.0,0.0
64.0,21.56,9460.0,0.0,36109.0,20.0,0.0
54.0,24.79,9461.0,0.0,36035.0,24.0,0.0
49.0,26.804,9457.0,0.0,35945.0,28.0,0.0
43.0,29.438,9456.0,0.0,35840.0,33.0,0.0
38.0,32.29,9449.0,0.0,35722.0,36.0,0.0
36.0,33.282,9439.0,0.0,35593.0,39.0,0.0
34.0,34.786,9431.0,0.0,35457.0,40.0,0.0
33.0,35.354,9422.0,0.0,35321.0,40.0,0.0
33.0,35.51,9417.0,0.0,35187.0,40.0,0.0
35.0,34.7,9416.0,0.0,35061.0,38.0,0.0
43.0,31.408,9418.0,0.0,34949.0,34.0,0.0
53.0,28.222,9420.0,0.0,34858.0,29.0,0.0
60.0,26.38,9426.0,0.0,34776.0,26.0,0.0
63.0,24.89,9429.0,0.0,34701.0,24.0,0.0
66.0,23.688,9434.0,0.0,34630.0,23.0,0.0
69.0,22.582,9435.0,0.0,34562.0,22.0,0.0
72.0,21.532,9432.0,0.0,34498.0,20.0,0.0
74.0,20.658,9430.0,0.0,34436.0,19.0,0.0
75.0,20.048,9430.0,0.0,34377.0,19.0,0.0
77.0,19.508,9428.0,0.0,34320.0,18.0,0.0
77.0,19.24,9428.0,0.0,34263.0,18.0,0.0
80.0,18.732,9429.0,0.0,34208.0,17.0,0.0
78.0,18.788,9436.0,0.0,34154.0,17.0,0.0
76.0,19.976,9442.0,0.0,34100.0,17.0,0.0
60.0,23.912,9449.0,0.0,34036.0,20.0,0.0
54.0,26.224,9452.0,0.0,33956.0,25.0,0.0
46.0,29.822,9450.0,0.0,33857.0,31.0,0.0
38.0,33.99,9446.0,0.0,33737.0,37.0,0.0
34.0,35.838,9439.0,0.0,33601.0,40.0,0.0
30.0,37.71,9431.0,0.0,33460.0,41.0,0.0
29.0,38.094,9421.0,0.0,33315.0,42.0,0.0
26.0,39.728,9412.0,0.0,33171.0,42.0,0.0
28.0,37.286,9408.0,0.0,33033.0,40.0,0.0
30.0,36.874,9406.0,0.0,32906.0,38.0,0.0
39.0,32.556,9408.0,0.0,32792.0,35.0,0.0
47.0,27.824,9413.0,0.0,32700.0,29.0,0.0
54.0,26.42,9417.0,0.0,32621.0,25.0,0.0
61.0,25.26,9420.0,0.0,32545.0,24.0,0.0
65.0,24.156,9421.0,0.0,32473.0,23.0,0.0
69.0,23.046,9422.0,0.0,32404.0,22.0,0.0
68.0,23.106,9417.0,0.0,32337.0,21.0,0.0
68.0,22.948,9414.0,0.0,32272.0,21.0,0.0
72.0,21.944,9412.0,0.0,32207.0,21.0,0.0
78.0,20.67,9407.0,0.0,32146.0,19.0,0.0
83.0,19.664,9409.0,0.0,32086.0,19.0,0.0
85.0,19.324,9414.0,0.0,32030.0,17.0,0.0
83.0,19.96,9422.0,0.0,31975.0,17.0,0.0
80.0,21.418,9425.0,0.0,31917.0,18.0,0.0
61.0,27.044,9431.0,0.0,31846.0,22.0,0.0
43.0,32.602,9436.0,0.0,31750.0,31.0,0.0
36.0,36.262,9438.0,0.0,31631.0,37.0,0.0
30.0,37.742,9435.0,0.0,31490.0,41.0,0.0
27.0,39.358,9427.0,0.0,31337.0,44.0,0.0
21.0,41.956,9417.0,0.0,31173.0,46.0,0.0
20.0,42.664,9408.0,0.0,31008.0,47.0,0.0
19.0,41.644,9398.0,0.0,30843.0,46.0,0.0
20.0,40.38,9393.0,0.0,30691.0,43.0,0.0
19.0,40.38,9392.0,0.0,30546.0,42.0,0.0
28.0,35.878,9393.0,0.0,30415.0,39.0,0.0
32.0,31.82,9397.0,0.0,30311.0,32.0,0.0
43.0,28.9,9404.0,0.0,30220.0,28.0,0.0
50.0,27.614,9409.0,0.0,30138.0,26.0,0.0
58.0,25.288,9412.0,0.0,30061.0,25.0,0.0
55.0,25.642,9414.0,0.0,29986.0,24.0,0.0
57.0,24.962,9413.0,0.0,29914.0,23.0,0.0
50.0,26.152,9411.0,0.0,29843.0,23.0,0.0
58.0,24.086,9409.0,0.0,29771.0,23.0,0.0
60.0,24.126,9406.0,0.0,29697.0,23.0,0.0
59.0,24.352,9407.0,0.0,29626.0,23.0,0.0
57.0,24.75,9409.0,0.0,29555.0,23.0,0.0
66.0,22.626,9419.0,0.0,29485.0,22.0,0.0
80.0,22.368,9432.0,0.0,29402.0,21.0,0.0
64.0,25.742,9430.0,0.0,29334.0,22.0,0.0
56.0,27.992,9433.0,0.0,29255.0,25.0,0.0
36.0,33.908,9438.0,0.0,29162.0,29.0,0.0
29.0,36.762,9439.0,0.0,29035.0,38.0,0.0
22.0,39.67,9435.0,0.0,28890.0,43.0,0.0
21.0,41.134,9424.0,0.0,28729.0,46.0,0.0
20.0,42.124,9414.0,0.0,28566.0,46.0,0.0
22.0,40.396,9405.0,0.0,28408.0,45.0,0.0
23.0,40.634,9398.0,0.0,28260.0,43.0,0.0
24.0,38.406,9397.0,0.0,28121.0,41.0,0.0
30.0,35.172,9401.0,0.0,27998.0,37.0,0.0
41.0,29.792,9406.0,0.0,27896.0,31.0,0.0
40.0,30.134,9413.0,0.0,27809.0,28.0,0.0
46.0,28.304,9421.0,0.0,27721.0,28.0,0.0
56.0,26.28,9444.0,0.0,27640.0,26.0,0.0
81.0,22.794,9467.0,0.0,27546.0,24.0,0.0
84.0,22.014,9446.0,0.0,27472.0,22.0,0.0
85.0,21.066,9442.0,0.0,27407.0,21.0,0.0
85.0,20.658,9441.0,0.0,27347.0,19.0,0.0
86.0,20.526,9433.0,0.0,27287.0,19.0,0.0
83.0,20.74,9425.0,0.0,27228.0,19.0,0.0
84.0,20.414,9423.0,0.0,27168.0,19.0,0.0
88.0,19.776,9421.0,0.0,27110.0,18.0,0.0
82.0,21.362,9426.0,0.0,27053.0,18.0,0.0
62.0,25.742,9429.0,0.0,26984.0,22.0,0.0
48.0,29.766,9432.0,0.0,26897.0,28.0,0.0
43.0,31.084,9430.0,0.0,26793.0,32.0,0.0
36.0,35.14,9437.0,0.0,26681.0,34.0,0.0
29.0,38.664,9429.0,0.0,26544.0,41.0,0.0
35.0,35.27,9424.0,0.0,26409.0,40.0,0.0
40.0,34.02,9414.0,0.0,26284.0,38.0,0.0
43.0,32.104,9404.0,0.0,26162.0,37.0,0.0
49.0,31.098,9401.0,0.0,26052.0,34.0,0.0
54.0,29.51,9402.0,0.0,25950.0,31.0,0.0
57.0,28.248,9405.0,0.0,25858.0,28.0,0.0
60.0,26.208,9408.0,0.0,25777.0,26.0,0.0
61.0,25.542,9412.0,0.0,25701.0,24.0,0.0
65.0,24.678,9417.0,0.0,25628.0,24.0,0.0
68.0,23.83,9418.0,0.0,25557.0,23.0,0.0
72.0,23.08,9420.0,0.0,25488.0,22.0,0.0
74.0,22.524,9417.0,0.0,25421.0,21.0,0.0
74.0,22.356,9413.0,0.0,25355.0,21.0,0.0
76.0,21.734,9409.0,0.0,25290.0,21.0,0.0
77.0,21.56,9402.0,0.0,25227.0,20.0,0.0
79.0,21.036,9394.0,0.0,25165.0,20.0,0.0
80.0,21.094,9391.0,0.0,25104.0,20.0,0.0
82.0,20.966,9387.0,0.0,25043.0,20.0,0.0
89.0,20.628,9394.0,0.0,24975.0,20.0,0.0
93.0,19.946,9417.0,0.0,24835.0,19.0,0.0
89.0,21.802,9408.0,0.0,24677.0,19.0,0.0
88.0,21.97,9417.0,0.0,24607.0,22.0,0.0
69.0,26.024,9416.0,0.0,24524.0,26.0,0.0
61.0,28.166,9412.0,0.0,24422.0,32.0,0.0
55.0,29.568,9404.0,0.0,24314.0,33.0,0.0
54.0,30.302,9404.0,0.0,24200.0,35.0,0.0
60.0,27.072,9404.0,0.0,24098.0,31.0,0.0
57.0,25.36,9406.0,0.0,24009.0,28.0,0.0
58.0,24.422,9418.0,0.0,23930.0,25.0,0.0
58.0,22.878,9425.0,0.0,23854.0,24.0,0.0
64.0,21.56,9428.0,0.0,23787.0,21.0,0.0
70.0,20.512,9435.0,0.0,23727.0,19.0,0.0
75.0,19.126,9438.0,0.0,23668.0,18.0,0.0
79.0,18.024,9434.0,0.0,23616.0,16.0,0.0
90.0,16.226,9440.0,0.0,23565.0,15.0,0.0
92.0,15.716,9437.0,0.0,23517.0,14.0,0.0
90.0,16.27,9433.0,0.0,23470.0,14.0,0.0
81.0,16.72,9430.0,0.0,23422.0,15.0,0.0
85.0,15.392,9434.0,0.0,23376.0,13.0,0.0
89.0,14.146,9433.0,0.0,23331.0,13.0,0.0
91.0,13.58,9441.0,0.0,23288.0,12.0,0.0
92.0,13.894,9449.0,0.0,23246.0,12.0,0.0
84.0,16.31,9457.0,0.0,23201.0,13.0,0.0
62.0,21.516,9458.0,0.0,23148.0,17.0,0.0
47.0,23.674,9460.0,0.0,23074.0,24.0,0.0
33.0,25.472,9459.0,0.0,22984.0,29.0,0.0
20.0,27.538,9456.0,0.0,22881.0,32.0,0.0
19.0,29.312,9451.0,0.0,22765.0,35.0,0.0
18.0,30.22,9441.0,0.0,22640.0,38.0,0.0
16.0,31.168,9432.0,0.0,22512.0,38.0,0.0
15.0,32.474,9425.0,0.0,22383.0,38.0,0.0
18.0,30.588,9418.0,0.0,22260.0,37.0,0.0
20.0,30.108,9417.0,0.0,22148.0,34.0,0.0
24.0,26.748,9422.0,0.0,22052.0,30.0,0.0
34.0,21.036,9425.0,0.0,21980.0,23.0,0.0
46.0,18.178,9428.0,0.0,21924.0,17.0,0.0
47.0,17.768,9428.0,0.0,21872.0,16.0,0.0
49.0,17.738,9432.0,0.0,21823.0,15.0,0.0
59.0,16.154,9430.0,0.0,21775.0,14.0,0.0
65.0,15.688,9432.0,0.0,21729.0,14.0,0.0
70.0,15.308,9433.0,0.0,21683.0,13.0,0.0
68.0,16.664,9435.0,0.0,21636.0,14.0,0.0
58.0,17.458,9436.0,0.0,21586.0,15.0,0.0
58.0,17.13,9441.0,0.0,21536.0,15.0,0.0
63.0,16.098,9448.0,0.0,21487.0,14.0,0.0
70.0,15.902,9455.0,0.0,21441.0,14.0,0.0
64.0,16.78,9468.0,0.0,21394.0,14.0,0.0
57.0,20.358,9473.0,0.0,21339.0,17.0,0.0
48.0,22.754,9476.0,0.0,21270.0,22.0,0.0
42.0,25.26,9473.0,0.0,21184.0,27.0,0.0
36.0,26.916,9470.0,0.0,21085.0,31.0,0.0
30.0,29.792,9467.0,0.0,20972.0,35.0,0.0
26.0,33.098,9460.0,0.0,20843.0,39.0,0.0
25.0,33.012,9450.0,0.0,20710.0,39.0,0.0
24.0,33.638,9441.0,0.0,20574.0,40.0,0.0
27.0,32.444,9436.0,0.0,20447.0,38.0,0.0
28.0,30.756,9435.0,0.0,20332.0,35.0,0.0
31.0,28.136,9436.0,0.0,20234.0,30.0,0.0
41.0,23.558,9444.0,0.0,20157.0,25.0,0.0
40.0,24.054,9446.0,0.0,20091.0,21.0,0.0
48.0,22.172,9449.0,0.0,20027.0,20.0,0.0
60.0,19.424,9454.0,0.0,19966.0,19.0,0.0
64.0,19.168,9456.0,0.0,19910.0,17.0,0.0
56.0,20.4,9454.0,0.0,19854.0,17.0,0.0
59.0,19.396,9453.0,0.0,19798.0,18.0,0.0
68.0,17.514,9450.0,0.0,19744.0,17.0,0.0
64.0,18.69,9452.0,0.0,19692.0,16.0,0.0
68.0,18.364,9456.0,0.0,19641.0,16.0,0.0
71.0,17.712,9459.0,0.0,19591.0,15.0,0.0
72.0,17.386,9465.0,0.0,19541.0,15.0,0.0
63.0,20.16,9475.0,0.0,19489.0,16.0,0.0
55.0,23.178,9477.0,0.0,19426.0,20.0,0.0
50.0,24.61,9477.0,0.0,19348.0,25.0,0.0
43.0,27.64,9476.0,0.0,19254.0,30.0,0.0
35.0,31.934,9473.0,0.0,19139.0,35.0,0.0
26.0,34.546,9469.0,0.0,19006.0,40.0,0.0
23.0,35.864,9458.0,0.0,18873.0,40.0,0.0
22.0,36.322,9445.0,0.0,18732.0,41.0,0.0
22.0,36.234,9433.0,0.0,18590.0,41.0,0.0
24.0,35.328,9426.0,0.0,18460.0,39.0,0.0
27.0,33.51,9425.0,0.0,18339.0,36.0,0.0
32.0,30.714,9429.0,0.0,18233.0,33.0,0.0
42.0,26.264,9429.0,0.0,18147.0,27.0,0.0
50.0,23.688,9437.0,0.0,18075.0,23.0,0.0
56.0,22.612,9441.0,0.0,18009.0,21.0,0.0
63.0,21.022,9443.0,0.0,17945.0,20.0,0.0
62.0,21.25,9440.0,0.0,17885.0,19.0,0.0
69.0,19.154,9440.0,0.0,17826.0,18.0,0.0
67.0,19.734,9436.0,0.0,17769.0,18.0,0.0
73.0,18.39,9433.0,0.0,17714.0,17.0,0.0
68.0,19.098,9428.0,0.0,17660.0,17.0,0.0
69.0,18.718,9429.0,0.0,17605.0,17.0,0.0
74.0,17.372,9432.0,0.0,17552.0,17.0,0.0
71.0,18.15,9436.0,0.0,17501.0,15.0,0.0
67.0,21.094,9442.0,0.0,17448.0,16.0,0.0
45.0,26.93,9448.0,0.0,17381.0,21.0,0.0
36.0,29.694,9452.0,0.0,17291.0,28.0,0.0
32.0,30.332,9453.0,0.0,17186.0,32.0,0.0
30.0,33.21,9449.0,0.0,17078.0,33.0,0.0
28.0,34.818,9441.0,0.0,16950.0,39.0,0.0
33.0,32.4,9433.0,1.0,65531.0,35.0,0.0
30.0,34.5,9426.0,1.0,65431.0,33.0,0.0
33.0,32.62,9419.0,1.0,65322.0,34.0,0.0
34.0,32.46,9416.0,1.0,65214.0,33.0,0.0
38.0,30.6,9416.0,1.0,65112.0,32.0,0.0
46.0,27.58,9416.0,1.0,65021.0,29.0,0.0
53.0,25.58,9420.0,1.0,64941.0,25.0,0.0
53.0,25.28,9425.0,1.0,64867.0,24.0,0.0
57.0,24.4,9429.0,1.0,64796.0,23.0,0.0
61.0,23.42,9431.0,1.0,64726.0,22.0,0.0
68.0,21.78,9428.0,1.0,64661.0,21.0,0.0
73.0,20.56,9424.0,1.0,64599.0,20.0,0.0
81.0,18.54,9422.0,1.0,64541.0,18.0,0.0
85.0,18.62,9418.0,1.0,64486.0,17.0,0.0
86.0,18.68,9410.0,1.0,64432.0,17.0,0.0
87.0,18.02,9409.0,1.0,64380.0,16.0,0.0
87.0,17.86,9414.0,1.0,64328.0,16.0,0.0
84.0,18.16,9418.0,1.0,64276.0,16.0,0.0
74.0,21.92,9429.0,1.0,64224.0,16.0,0.0
58.0,26.84,9439.0,1.0,64154.0,22.0,0.0
32.0,33.58,9440.0,1.0,64060.0,30.0,0.0
30.0,34.76,9441.0,1.0,63940.0,36.0,0.0
29.0,36.66,9434.0,1.0,63814.0,38.0,0.0
26.0,37.12,9425.0,1.0,63676.0,41.0,0.0
24.0,38.16,9413.0,1.0,63532.0,42.0,0.0
24.0,39.38,9405.0,1.0,63382.0,43.0,0.0
25.0,38.92,9397.0,1.0,63235.0,43.0,0.0
28.0,36.46,9396.0,1.0,63103.0,39.0,0.0
32.0,34.16,9390.0,1.0,62985.0,36.0,0.0
40.0,31.68,9395.0,1.0,62880.0,33.0,0.0
50.0,27.34,9403.0,1.0,62790.0,28.0,0.0
62.0,24.46,9420.0,1.0,62700.0,25.0,0.0
63.0,23.58,9434.0,1.0,62613.0,23.0,0.0
75.0,21.4,9469.0,1.0,62505.0,21.0,0.0
92.0,18.42,9487.0,1.0,61916.0,18.0,0.0
92.0,18.46,9470.0,1.0,61671.0,17.0,0.0
91.0,18.42,9453.0,1.0,61610.0,17.0,0.0
91.0,18.26,9445.0,1.0,61550.0,17.0,0.0
91.0,18.28,9452.0,1.0,61478.0,17.0,0.0
92.0,18.22,9444.0,1.0,61423.0,17.0,0.0
97.0,17.88,9458.0,1.0,61369.0,17.0,0.0
97.0,17.5,9464.0,1.0,61315.0,17.0,0.0
96.0,18.06,9464.0,1.0,61262.0,17.0,0.0
87.0,19.7,9465.0,1.0,61206.0,18.0,0.0
88.0,19.8,9483.0,1.0,61147.0,19.0,0.0
86.0,20.96,9481.0,1.0,61082.0,20.0,0.0
83.0,21.84,9482.0,1.0,61015.0,21.0,0.0
87.0,20.62,9480.0,1.0,60939.0,21.0,0.0
78.0,22.84,9474.0,1.0,60867.0,23.0,0.0
76.0,23.16,9468.0,1.0,60793.0,23.0,0.0
79.0,21.66,9471.0,1.0,60721.0,23.0,0.0
82.0,21.28,9468.0,1.0,60654.0,21.0,0.0
82.0,21.22,9465.0,1.0,60589.0,21.0,0.0
84.0,20.92,9467.0,1.0,60525.0,20.0,0.0
86.0,20.32,9468.0,1.0,60464.0,19.0,0.0
